achim-von-arnim-20,214960
adam-gottlob-oehlenschlager-1483,7436
adelbert-von-chamisso-98,103492
adelheid-stier-1663,8475
adolf-friedrich-von-schack-1748,48782
adolf-glassbrenner-200,145838
alberta-von-puttkamer-473,493
albrecht-von-haller-238,20202
alexander-sergejewitsch-puschkin-472,7553
alfons-petzold-459,13754
alfred-lichtenstein-373,12237
alfred-mombert-1413,14576
alfred-tennyson-848,7754
aloys-blumauer-1488,114015
anastasius-grun-225,237749
andreas-gryphius-226,1022
annette-von-droste-hulshoff-132,124701
anton-wildgans-643,47717
arno-holz-286,51249
arthur-fitger-167,475
arthur-schopenhauer-531,230
august-friedrich-ernst-langbein-354,444
august-gottlob-eberhard-927,18208
august-stramm-579,4491
august-von-platen-461,26178
barthold-heinrich-brockes-79,786
bettina-von-arnim-21,2835
betty-paoli-454,26213
bjrnstjerne-bjrnson-57,20783
bruno-ertler-150,6009
carl-arnold-kortum-339,68385
carl-spitteler-561,4806
caroline-von-gunderrode-227,4015
casar-flaischlen-1035,18151
charles-baudelaire-40,107219
christian-felix-weisse-1453,11763
christian-friedrich-hebbel-250,77153
christian-friedrich-scherenberg-515,52364
christian-furchtegott-gellert-191,46053
christian-hofmann-von-hofmannswaldau-284,38327
christian-morgenstern-423,42895
christian-schubart-535,11721
christoph-martin-wieland-639,489492
clemens-brentano-75,34830
conrad-ferdinand-meyer-97,41384
dante-115,126846
detlev-freiherr-von-liliencron-375,49488
dschalal-ad-din-muhammad-rumi-1425,6097
edgar-allan-poe-465,7701
eduard-bauernfeld-42,84
eduard-morike-418,98909
eduard-paulus-1102,81652
elisabeth-von-osterreich-977,63723
elizabeth-barrett-browning-1682,5960
else-lasker-schuler-1258,15859
emanuel-geibel-190,123916
emerenz-meier-1432,1326
emil-gott-1364,5943
erich-muhsam-429,14664
ernst-blass-1516,13768
ernst-moritz-arndt-19,33344
ernst-rauscher-481,11757
ernst-stadler-564,11790
ernst-von-wildenbruch-641,2642
ernst-wilhelm-lotz-388,1351
eugenie-marlitt-399,4852
farid-ed-din-attar-1418,5200
felix-dahn-114,89457
ferdinand-avenarius-32,10920
ferdinand-freiligrath-180,164988
ferdinand-gregorovius-216,24523
ferdinand-raimund-480,3602
ferdinand-sauter-509,9004
ferdinand-von-saar-503,10687
frank-wedekind-626,11703
franz-dingelstedt-127,18350
franz-grillparzer-219,1204
franz-josef-zlatnik-662,10604
franz-keim-886,29485
franz-stelzhamer-566,31106
franz-von-kobell-332,72849
franz-werfel-1443,24293
fred-endrikat-1394,28421
frida-schanz-962,68120
friedrich-gottlieb-klopstock-330,45319
friedrich-halm-239,3276
friedrich-haug-247,8809
friedrich-holderlin-279,101861
friedrich-ii-von-preussen-185,991
friedrich-nicolai-441,88
friedrich-ruckert-501,114003
friedrich-schiller-518,57691
friedrich-schlegel-520,1207
friedrich-theodor-vischer-609,56454
friedrich-von-bodenstedt-59,15218
friedrich-von-hagedorn-235,1657
friedrich-von-logau-383,15494
friedrich-wilhelm-nietzsche-443,9274
friedrich-wilhelm-weber-625,1392
fritz-reuter-486,50426
georg-botticher-63,63322
georg-christoph-lichtenberg-372,4254
george-gordon-noel-byron-90,236475
georg-herwegh-266,45902
georg-heym-273,15033
georg-queri-476,12962
georg-trakl-595,10008
gerhard-tersteegen-589,282
gerrit-engelke-146,19698
giosue-carducci-1019,26246
gottfried-august-burger-84,66873
gottfried-keller-312,47778
gotthold-ephraim-lessing-369,31249
gottlieb-konrad-pfeffel-460,77461
guido-zernatto-1537,2094
gustav-falke-159,17246
gustav-schuler-1725,19042
gustav-schwab-540,1860
gustav-theodor-fechner-161,10634
gustav-trockenbrodt-597,12844
hafis-234,21562
hanns-freiherr-von-gumppenberg-1036,11331
hans-christian-andersen-9,529
hans-sachs-505,55950
hans-schiebelhuth-1623,28170
hartmann-von-aue-297,7766
heinrich-heine-257,121258
heinrich-hoffmann-281,4999
heinrich-kruse-1661,134460
heinrich-lautensack-361,10090
heinrich-lersch-780,14144
heinrich-leuthold-370,181
heinrich-seidel-544,48083
henrik-ibsen-298,21119
henry-wadsworth-longfellow-1089,30790
hermann-conradi-108,24642
hermann-harry-schmitz-525,333
hermann-lons-381,12789
hermann-von-gilm-199,591
hermann-von-lingg-378,854
hesiod-269,21873
hoffmann-von-fallersleben-160,4310
horaz-289,71858
hugo-ball-34,8543
hugo-marti-929,3666
hugo-von-hofmannsthal-283,14323
ignaz-franz-castelli-94,915
isolde-kurz-1578,69348
jacob-burckhardt-86,2296
jakob-michael-reinhold-lenz-366,159
jakob-van-hoddis-1396,9577
jens-baggesen-1480,12484
jens-peter-jacobsen-303,12780
joachim-heinrich-campe-91,144
joachim-ringelnatz-496,53298
jochen-klepper-1397,6972
johann-christian-gunther-229,15511
johann-christoph-rost-1525,8679
johannes-daniel-falk-158,4705
johannes-schlaf-923,11691
johann-fischart-1110,573
johann-gabriel-seidl-546,83416
johann-gaudenz-von-salis-seewis-1191,15002
johann-georg-fischer-166,571
johann-georg-jacobi-1596,19039
johann-georg-kerner-316,361
johann-georg-scheffner-513,3049
johann-gottfried-herder-264,90604
johann-gottfried-seume-547,15962
johann-heinrich-voss-613,73088
johann-kleinfercher-325,4970
johann-ladislaus-pyrker-474,5886
johann-meyer-741,193902
johann-peter-eckerman-139,3820
johann-peter-hebel-251,4656
johann-peter-uz-604,2645
johann-philipp-lorenz-withof-647,17193
johann-philipp-neumann-440,1008
johann-wilhelm-ludwig-gleim-203,82416
johann-wolfgang-von-goethe-205,306263
john-brinckman-78,25597
john-keats-311,10216
joseph-christian-von-zedlitz-659,87680
joseph-freiherr-von-eichendorff-142,33116
joseph-von-lauff-360,46589
julius-langbehn-1074,5791
julius-sturm-1697,13671
julius-wolff-652,208014
justinus-kerner-315,6371
karl-broger-1670,10676
karl-friedrich-gottlob-wetzel-636,538
karl-henckell-261,20692
karl-kraus-343,1629
karl-leberecht-immermann-299,49896
karl-may-403,21348
karl-simrock-552,270908
klabund-323,47929
klaus-groth-223,70752
konrad-von-wurzburg-880,4030
kurd-lasswitz-358,259
kurt-tucholsky-598,1638
leopold-friedrich-gunther-von-goeckingk-1464,3033
ludwig-anzengruber-12,15411
ludwig-aurbacher-30,3122
ludwig-eichrodt-1298,18522
ludwig-fulda-1097,56582
ludwig-heinrich-christoph-holty-280,2759
ludwig-i-von-bayern-865,29206
ludwig-jacobowski-302,524
ludwig-rubiner-500,196
ludwig-thoma-591,9853
ludwig-tieck-593,2194
ludwig-uhland-601,54694
luise-hensel-262,8614
marie-freifrau-von-ebner-eschenbach-138,1364
marie-von-olfers-1372,35502
martin-greif-1728,33961
martin-luther-392,7247
martin-opitz-449,26086
mathilde-wesendonck-635,535
matthias-claudius-103,5735
maurus-lindemayr-377,5438
max-barthel-1241,1641
max-dauthendey-118,260984
max-eyth-157,43152
max-halbe-815,3935
max-hofmann-282,9432
max-vogler-610,2853
max-von-schenkendorf-1722,67283
michael-georg-conrad-109,826
moritz-graf-strachwitz-578,22241
musliheddin-sadi-1106,35427
nataly-von-eschstruth-987,36863
nikolaus-lenau-365,60492
novalis-446,20747
odon-von-horvath-290,2497
omar-chajjam-1420,5788
oskar-loerke-1180,9400
otfried-krzyzanowski-344,2416
otto-erich-hartleben-829,25782
otto-ernst-149,3019
otto-julius-bierbaum-51,43417
ottokar-kernstock-317,4716
otto-zur-linde-1406,37952
ovid-451,235261
paula-dehmel-123,63737
paul-boldt-64,4956
paul-fleming-169,24957
paul-gerhardt-194,69445
paul-haller-1601,14389
paul-hansmann-772,78747
paul-heyse-274,1152
paul-klee-324,8770
paul-scheerbart-511,4437
paul-verlaine-749,10590
pedro-calderon-de-la-barca-800,9476
percy-bysshe-shelley-1649,53197
peter-geibel-1520,9526
peter-hille-276,4772
rabindranath-tagore-1068,22635
rainer-maria-rilke-495,81054
reinhard-sorge-557,3992
richard-dehmel-122,57062
richard-wilhelm-644,8248
richard-zoozmann-665,219577
robert-eduard-prutz-1312,16940
rudolf-baumbach-43,36614
salomon-gessner-196,4540
sebastian-brant-1028,56942
sebastian-sailer-506,3710
sextus-aurelius-propertius-1017,42256
sidonia-hedwig-zaunemann-657,34403
simon-dach-112,590
stefan-george-192,44325
stefan-zweig-667,7530
stephane-mallarme-1598,17073
theodor-fontane-173,6891
theodor-korner-333,86683
theodor-storm-576,31931
ulrich-von-lichtenstein-602,78267
vergil-606,42294
victor-hugo-293,91192
victor-von-scheffel-512,95172
walter-benjamin-1090,23540
walter-flex-170,11376
walter-hasenclever-1385,4728
walter-rheiner-489,1219
walther-von-der-vogelweide-622,1519
walt-whitman-1479,50191
wilhelm-busch-88,26994
wilhelm-hauff-246,21423
wilhelm-jensen-305,1118
wilhelm-jordan-307,37245
wilhelm-muller-432,8892
wilhelm-von-humboldt-295,215
william-shakespeare-548,25747
willibald-alexis-6,241
wolfram-von-eschenbach-151,193597
zephyrin-zettl-660,1475
